title;author;paperType;resultType;bestValue;minValue;maxValue;parameterValue;TimePressure;Incentive;Progression;Feedback;Customization;Immersion;Competition;Guild;VirtualEconomy;Assistance;Challenge;Chance;Altruism
Personality targeted Gamification A Survey Study on Personality traits and motivational affordances;Jia et al.;Significant standardized coefficients (p < .05) as calculated by multiple regression. (Differentiation between Reliable, Helpful, Enjoyable);Coefficient;1;-1;1;agreeableness;;0;0;;0;;0;;;;0,141;;
Personality targeted Gamification A Survey Study on Personality traits and motivational affordances;Jia et al.;Significant standardized coefficients (p < .05) as calculated by multiple regression. (Differentiation between Reliable, Helpful, Enjoyable);Coefficient;1;-1;1;conscientiousness;;0;0,1445;;0;;0;;;;0;;
Personality targeted Gamification A Survey Study on Personality traits and motivational affordances;Jia et al.;Significant standardized coefficients (p < .05) as calculated by multiple regression. (Differentiation between Reliable, Helpful, Enjoyable);Coefficient;1;-1;1;extraversion;;0,143;0,159666667;;0;;0,168333333;;;;0;;
Personality targeted Gamification A Survey Study on Personality traits and motivational affordances;Jia et al.;Significant standardized coefficients (p < .05) as calculated by multiple regression. (Differentiation between Reliable, Helpful, Enjoyable);Coefficient;1;-1;1;neuroticism;;-0,1646;-0,171;;0;;0;;;;0;;
Personality targeted Gamification A Survey Study on Personality traits and motivational affordances;Jia et al.;Significant standardized coefficients (p < .05) as calculated by multiple regression. (Differentiation between Reliable, Helpful, Enjoyable);Coefficient;1;-1;1;openness;;0;0;;-0,167;;0;;;;0;;
Tailored gamification: A review of literature;Klock et al.;Number of Papers that suggest game element (Low and High bedeutet hohe übereinstimmung bzw gegenteilige übereinstimmung bsp: extroversion (high), introversion (low extroversion));PositiveNumber;5;-2;5;agreeableness;;1;0;2;1;0;1;1;0;0;1;0;0
Tailored gamification: A review of literature;Klock et al.;Number of Papers that suggest game element (Low and High bedeutet hohe übereinstimmung bzw gegenteilige übereinstimmung bsp: extroversion (high), introversion (low extroversion));PositiveNumber;5;-2;5;conscientiousness;;0;1;2;1;1;0;0;0;0;0;0;0
Tailored gamification: A review of literature;Klock et al.;Number of Papers that suggest game element (Low and High bedeutet hohe übereinstimmung bzw gegenteilige übereinstimmung bsp: extroversion (high), introversion (low extroversion));PositiveNumber;5;-2;5;extraversion;;4;2;2;2;2;7;1;0;1;0;1;1
Tailored gamification: A review of literature;Klock et al.;Number of Papers that suggest game element (Low and High bedeutet hohe übereinstimmung bzw gegenteilige übereinstimmung bsp: extroversion (high), introversion (low extroversion));PositiveNumber;5;-2;5;neuroticism;;5;2;0;0;0;1;0;1;0;0;0;0
Tailored gamification: A review of literature;Klock et al.;Number of Papers that suggest game element (Low and High bedeutet hohe übereinstimmung bzw gegenteilige übereinstimmung bsp: extroversion (high), introversion (low extroversion));PositiveNumber;5;-2;5;openness;;1;0;-2;1;0;-1;-1;1;0;1;0;0
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;5;1;5;agreeableness;2.87;3.91;4.21;3.69;3.22;3.5;3.74;3.68;3.15;3.05;4.11;3.05;3.6
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;5;1;5;conscientiousness;3.17;3.96;4.16;3.75;3.44;3.42;3.77;3.6;3.32;3.41;4.09;3.33;3.58
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;5;1;5;extraversion;2.75;3.79;4.07;3.46;3.31;3.4;3.85;3.56;3.44;3.15;4.02;3.43;3.53
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;5;1;5;neuroticism;2.94;3.89;4.32;3.55;3.51;3.57;3.84;3.6;3.32;3.12;4.05;3.09;3.51
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;5;1;5;openness;2.87;3.91;4.14;3.69;3.62;3.63;3.63;3.49;3.35;3.27;4.11;3.26;3.66
